city,temperature_c,humidity,wind_speed,weather,timestamp
Berlin,15.17,91,4.47,Clear,2025-06-08 06:30:02
Cairo,24.42,73,3.09,Clear,2025-06-08 06:30:02
Madrid,19.37,51,1.79,Clear,2025-06-08 06:30:02
Amsterdam,12.21,81,4.12,Rain,2025-06-08 06:30:02
Munich,13.86,91,3.13,Clouds,2025-06-08 07:00:02
Berlin,15.93,89,4.92,Clear,2025-06-08 07:00:02
Cairo,24.42,73,1.54,Clear,2025-06-08 07:00:02
Madrid,20.59,47,2.06,Clear,2025-06-08 07:00:03
Amsterdam,12.71,77,5.66,Rain,2025-06-08 07:00:03
Munich,14.21,89,4.02,Clouds,2025-06-08 07:30:01
Berlin,16.21,88,6.71,Clear,2025-06-08 07:30:02
Cairo,26.42,61,3.09,Clear,2025-06-08 07:30:02
Madrid,21.41,47,2.68,Clear,2025-06-08 07:30:02
Amsterdam,13.06,83,6.69,Clouds,2025-06-08 07:30:02
Munich,15.43,85,6.26,Clouds,2025-06-08 08:00:03
Berlin,17.58,84,6.71,Clear,2025-06-08 08:00:03
Cairo,26.42,57,2.57,Clear,2025-06-08 08:00:03
Madrid,22.2,45,2.57,Clear,2025-06-08 08:00:03
Amsterdam,13.05,80,7.72,Clouds,2025-06-08 08:00:03
Munich,16.08,78,6.26,Clouds,2025-06-08 08:30:02
Berlin,18.04,82,7.2,Rain,2025-06-08 08:30:02
Cairo,27.42,54,1.54,Clear,2025-06-08 08:30:02
Madrid,23.22,44,3.6,Clear,2025-06-08 08:30:03
Amsterdam,13.02,88,8.23,Rain,2025-06-08 08:30:03
Munich,16.33,76,5.36,Clouds,2025-06-08 09:00:01
Berlin,16.87,85,7.72,Rain,2025-06-08 09:00:02
Cairo,29.42,42,2.57,Clear,2025-06-08 09:00:02
Madrid,24.89,37,3.6,Clear,2025-06-08 09:00:02
Amsterdam,12.42,83,8.75,Rain,2025-06-08 09:00:02
Munich,16.11,75,4.02,Clouds,2025-06-08 09:30:02
Berlin,16.46,89,7.6,Clouds,2025-06-08 09:30:02
Cairo,29.42,42,3.09,Clear,2025-06-08 09:30:02
Madrid,25.67,37,3.09,Clear,2025-06-08 09:30:02
Amsterdam,11.98,80,7.72,Rain,2025-06-08 09:30:02
Munich,16.52,73,3.13,Clouds,2025-06-08 10:00:02
Berlin,17.77,88,6.71,Clouds,2025-06-08 10:00:02
Cairo,30.42,35,2.06,Clear,2025-06-08 10:00:02
Madrid,26.09,36,3.09,Clear,2025-06-08 10:00:02
Amsterdam,12.66,80,9.26,Rain,2025-06-08 10:00:02
Munich,16.37,75,6.65,Clouds,2025-06-08 10:30:02
Berlin,18.75,79,6.71,Clouds,2025-06-08 10:30:02
Cairo,31.42,33,4.12,Clear,2025-06-08 10:30:02
Madrid,27.6,34,2.57,Clear,2025-06-08 10:30:03
Amsterdam,13.04,80,10.8,Clouds,2025-06-08 10:30:03
Munich,18.65,58,5.81,Clouds,2025-06-08 11:00:02
Berlin,19.3,74,7.72,Rain,2025-06-08 11:00:02
Cairo,32.42,25,3.6,Clear,2025-06-08 11:00:02
Madrid,27.33,33,2.57,Clear,2025-06-08 11:00:02
Amsterdam,13.11,80,9.77,Rain,2025-06-08 11:00:02
Munich,18.74,57,5.36,Clouds,2025-06-08 11:30:02
Berlin,19.61,73,8.75,Clouds,2025-06-08 11:30:02
Cairo,33.42,25,3.6,Clear,2025-06-08 11:30:02
Madrid,28.95,28,2.06,Clear,2025-06-08 11:30:02
Amsterdam,13.36,74,10.29,Clouds,2025-06-08 11:30:02
Munich,19.64,56,4.92,Clouds,2025-06-08 12:00:02
Berlin,19.52,70,9.26,Clouds,2025-06-08 12:00:02
Cairo,33.42,29,3.09,Clear,2025-06-08 12:00:02
Madrid,29.12,29,3.09,Clear,2025-06-08 12:00:02
Amsterdam,13.71,72,10.8,Clouds,2025-06-08 12:00:02
Munich,16.11,71,4.47,Clouds,2025-06-08 12:30:02
Berlin,19.46,61,10.29,Clear,2025-06-08 12:30:02
Cairo,34.42,24,4.63,Clear,2025-06-08 12:30:02
Madrid,29.98,26,2.57,Clear,2025-06-08 12:30:02
Amsterdam,13.89,70,10.29,Clouds,2025-06-08 12:30:02
Munich,15.42,73,3.13,Rain,2025-06-08 13:00:02
Berlin,18.84,60,12.07,Clouds,2025-06-08 13:00:02
Cairo,34.42,24,4.63,Clear,2025-06-08 13:00:02
Madrid,30.96,25,2.24,Clear,2025-06-08 13:00:02
Amsterdam,13.78,67,9.77,Clouds,2025-06-08 13:00:02
Munich,15.67,74,8.16,Clouds,2025-06-08 13:30:02
Berlin,18.78,58,12.52,Clouds,2025-06-08 13:30:03
Cairo,34.42,26,4.12,Clear,2025-06-08 13:30:03
Madrid,31.12,26,2.57,Clear,2025-06-08 13:30:03
Amsterdam,13.18,71,11.83,Rain,2025-06-08 13:30:03
Munich,15.11,74,3.13,Rain,2025-06-08 14:00:02
Berlin,18.08,62,9.77,Clouds,2025-06-08 14:00:02
Cairo,35.42,24,5.14,Clear,2025-06-08 14:00:02
Madrid,31.83,25,2.57,Clear,2025-06-08 14:00:02
Amsterdam,13.27,72,10.29,Clouds,2025-06-08 14:00:02
Munich,15.03,77,3.13,Rain,2025-06-08 14:30:02
Berlin,18.13,61,11.18,Clear,2025-06-08 14:30:02
Cairo,35.42,26,5.66,Clear,2025-06-08 14:30:02
Madrid,32.11,23,3.6,Clear,2025-06-08 14:30:02
Amsterdam,13.27,70,10.29,Rain,2025-06-08 14:30:02
Munich,15.08,73,5.36,Rain,2025-06-08 15:00:02
Berlin,18.29,60,10.8,Clouds,2025-06-08 15:00:02
Cairo,35.42,26,5.66,Clear,2025-06-08 15:00:02
Madrid,32.41,24,2.68,Clear,2025-06-08 15:00:02
Amsterdam,13.11,74,9.77,Clouds,2025-06-08 15:00:02
